image_index,path
1,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\04d39a92fc.jpg
2,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\05af7f1839.jpg
3,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\07ca591901.jpg
4,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\0d81432b55.jpg
5,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\0ea582d23a.jpg
6,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\19a505bf7e.jpg
7,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\1d60d3a825.jpg
8,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\21db32c9fa.jpg
9,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\27ea11efc2.jpg
10,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\29ff2d4476.jpg
11,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\2aac25f425.jpg
12,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\2b37e418dc.jpg
13,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\2c1d127b21.jpg
14,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\2dcb82424b.jpg
15,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\2fe9f5a813.jpg
16,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\37e594ee51.jpg
17,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\37fcb715e3.jpg
18,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\46b318a675.jpg
19,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\46fab26bdd.jpg
20,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\49e76d3613.jpg
